nama,slug
Badan pengelola dan pengembang TMII (Taman Mini Indonesia Indah),badan_pengelola_dan_pengembang_tmii_(taman_mini_indonesia_indah)
BLUD Taman Margasatwa Ragunan,blud_taman_margasatwa_ragunan
CV. Alam Raya Pancur Aji,cv._alam_raya_pancur_aji
CV. Andys Antique (Taman Satwa Cikembulan),cv._andys_antique_(taman_satwa_cikembulan)
CV. Bali Harmoni (Bali Zoo),cv._bali_harmoni_(bali_zoo)
CV. Bali Shell Museum,cv._bali_shell_museum
CV. Barumun Nagari,cv._barumun_nagari
CV. Capital  Wildlife Research and Breeding Center,cv._capital__wildlife_research_and_breeding_center
CV. Citra Pesona Ladangku,cv._citra_pesona_ladangku
CV. Citra Satwa Celebes (Bontomarumu Education Park),cv._citra_satwa_celebes_(bontomarumu_education_park)
CV. Gunung Kekewang,cv._gunung_kekewang
CV. Gurun Putih Lestari,cv._gurun_putih_lestari
CV. Karisma (Tandu Rusa),cv._karisma_(tandu_rusa)
CV. Melka Satwa,cv._melka_satwa
CV. Mirah Fantasia,cv._mirah_fantasia
CV. Satwa Lestari Jaya,cv._satwa_lestari_jaya
CV. Sinka Island Park,cv._sinka_island_park
CV. Taman Rusa,cv._taman_rusa
Dinas Kebudayaan dan Pariwisata Bukittinggi (Taman Margasatwa dan Budaya Kinantan Bukittinggi),dinas_kebudayaan_dan_pariwisata_bukittinggi_(taman_margasatwa_dan_budaya_kinantan_bukittinggi)
Dinas Kebudayaan dan Pariwisata Kabupaten Banjarnegara (Taman Rekreasi dan Marga Satwa Serulingmas),dinas_kebudayaan_dan_pariwisata_kabupaten_banjarnegara_(taman_rekreasi_dan_marga_satwa_serulingmas)
Jakarta Aquarium Indonesia,jakarta_aquarium_indonesia
Kantor Kebudayaan dan Pariwisata Bengkalis (Kebun Binatang Bengkalis),kantor_kebudayaan_dan_pariwisata_bengkalis_(kebun_binatang_bengkalis)
Kebun Raya dan Kebun Binatang Gembira Loka,kebun_raya_dan_kebun_binatang_gembira_loka
Koperasi Dinas Peternakan dan Kesehatan Hewan Provinsi Jambi (Taman Rimbo Jambi),koperasi_dinas_peternakan_dan_kesehatan_hewan_provinsi_jambi_(taman_rimbo_jambi)
Koperasi Bina Satwa Sejahtera Wonogiri (Waduk Gajahmungkur),koperasi_bina_satwa_sejahtera_wonogiri_(waduk_gajahmungkur)
"Koperasi Karyawan PT. Taman Wisata Candi Borobudur, Prambanan & Ratu Boko (Taman Satwa Borobudur)","koperasi_karyawan_pt._taman_wisata_candi_borobudur,_prambanan_&_ratu_boko_(taman_satwa_borobudur)"
PD Taman Satwa Taru Jurug Surakarta (Solo Safari),pd_taman_satwa_taru_jurug_surakarta_(solo_safari)
PD. Obyek Wisata Umbul Madiun,pd._obyek_wisata_umbul_madiun
PD. Pembangunan Kota Medan (Medan Zoo),pd._pembangunan_kota_medan_(medan_zoo)
PDTS. Kebun Binatang Surabaya,pdts._kebun_binatang_surabaya
PT. Anugrah Alam Esa,pt._anugrah_alam_esa
PT. Bakas Aneka Citra Wisata Tirta (Bali Elephant Tour),pt._bakas_aneka_citra_wisata_tirta_(bali_elephant_tour)
PT. Batu Payung Indah,pt._batu_payung_indah
PT. Bintang Fauna dan Flora Indonesia (Lombok Wildlife Park),pt._bintang_fauna_dan_flora_indonesia_(lombok_wildlife_park)
PT. Bumi Kedaton,pt._bumi_kedaton
PT. Bumi Lamongan Sejati (Maharani Zoo),pt._bumi_lamongan_sejati_(maharani_zoo)
PT. Bumi Lestari Utama (Taman Satwa Tabanan/TASTA),pt._bumi_lestari_utama_(taman_satwa_tabanan/tasta)
PT. Bunga Wangsa Sedjati (Jatim Park),pt._bunga_wangsa_sedjati_(jatim_park)
PT. Burung Prima Perkasa,pt._burung_prima_perkasa
PT. Cagar Alam Cikao,pt._cagar_alam_cikao
PT. Fajar Agung Sumut (R Zoo),pt._fajar_agung_sumut_(r_zoo)
PT. Fauna Land Ancol,pt._fauna_land_ancol
PT. Fortuna Sinar Suropati (Taman Ria Suropati),pt._fortuna_sinar_suropati_(taman_ria_suropati)
PT. Galatta Lestarindo (Central Park Zoo & Resort),pt._galatta_lestarindo_(central_park_zoo_&_resort)
PT. Hotel Candi Baru (Agrowisata Sido Muncul),pt._hotel_candi_baru_(agrowisata_sido_muncul)
PT. Hotel Pohon (Lembang Park and Zoo),pt._hotel_pohon_(lembang_park_and_zoo)
"PT. Jaya Real Property, Tbk","pt._jaya_real_property,_tbk"
PT. Kasianan (Bali Elephant Camp),pt._kasianan_(bali_elephant_camp)
PT. Kupu-Kupu Taman Lestari (Balitopia Butterfly Park),pt._kupu-kupu_taman_lestari_(balitopia_butterfly_park)
PT. Lembah Hijau,pt._lembah_hijau
PT. Mirah Megah Wisata (Gowa Discovery Park),pt._mirah_megah_wisata_(gowa_discovery_park)
PT. nDayu Alam Asri,pt._ndayu_alam_asri
PT. Nuansa Alam Nusantara,pt._nuansa_alam_nusantara
PT. Orang Utan Haven,pt._orang_utan_haven
PT. Piayu Samudera Loka,pt._piayu_samudera_loka
PT. Piayu Samudra Bali,pt._piayu_samudra_bali
PT. Rimba Reptil International (Bali Reptile Park),pt._rimba_reptil_international_(bali_reptile_park)
PT. Safari Lagoi Bintan,pt._safari_lagoi_bintan
PT. Samarinda Golden Prima,pt._samarinda_golden_prima
PT. Satwa Gunung Bayan Lestari,pt._satwa_gunung_bayan_lestari
PT. Segara Alunan Bayu Ayu (SABA/Balitofia and Flamingo Beach Club Gianyar)),pt._segara_alunan_bayu_ayu_(saba/balitofia_and_flamingo_beach_club_gianyar))
PT. Suaka Alam Satwa,pt._suaka_alam_satwa
PT. Taman Benoa Eksotik,pt._taman_benoa_eksotik
PT. Taman Burung Citra Bali Internasional (Bali Bird Park),pt._taman_burung_citra_bali_internasional_(bali_bird_park)
PT. Taman Impian Jaya Ancol,pt._taman_impian_jaya_ancol
PT. Taman Safari Indonesia  IV (Batang Dolphin Center),pt._taman_safari_indonesia__iv_(batang_dolphin_center)
PT. Taman Safari Indonesia I Cisarua,pt._taman_safari_indonesia_i_cisarua
PT. Taman Safari Indonesia II (TSI Prigen),pt._taman_safari_indonesia_ii_(tsi_prigen)
PT. Taman Safari Indonesia III (Bali Safari and Marine Park),pt._taman_safari_indonesia_iii_(bali_safari_and_marine_park)
PT. Taman Satwa Semarang,pt._taman_satwa_semarang
PT. Taman Sengkaling Indah,pt._taman_sengkaling_indah
PT. Unitwin Indonesia (Taman Hewan Pematang Siantar),pt._unitwin_indonesia_(taman_hewan_pematang_siantar)
PT. Wersut Seguni Indonesia,pt._wersut_seguni_indonesia
PT. Wisata Sapta Pesona,pt._wisata_sapta_pesona
PT. Wisatareksa Gajah Perdana (Taro Elephant Safari Park),pt._wisatareksa_gajah_perdana_(taro_elephant_safari_park)
"UPT. Informasi dan Pendidikan Lingkungan Hidup,  BLH Probolinggo (TWSL Probolinggo)","upt._informasi_dan_pendidikan_lingkungan_hidup,__blh_probolinggo_(twsl_probolinggo)"
UPTD. Wahana Wisata  Sawahlunto (Kandi Sawahlunto),uptd._wahana_wisata__sawahlunto_(kandi_sawahlunto)
"Yayasan ""Rahmat"" International Wildlife Museum and Gallery (Museum Rahmat Gallery)","yayasan_""rahmat""_international_wildlife_museum_and_gallery_(museum_rahmat_gallery)"
Yayasan Bina Wisata dan Margasatwa Kasang Kulim Riau,yayasan_bina_wisata_dan_margasatwa_kasang_kulim_riau
Yayasan Lembaga Konservasi Flora dan Fauna Jhonlin Lestari,yayasan_lembaga_konservasi_flora_dan_fauna_jhonlin_lestari
Yayasan Mardi Wiyata,yayasan_mardi_wiyata
Yayasan Margasatwa Tamansari Bandung Zoological Garden (Bandung Zoo),yayasan_margasatwa_tamansari_bandung_zoological_garden_(bandung_zoo)
PT. Aviary Jaya Lestari,pt._aviary_jaya_lestari
PT. Jaya Multi Zaman,pt._jaya_multi_zaman
PT. Pantai Indah Batu Bedaun,pt._pantai_indah_batu_bedaun
