Bentuk,Wilayah,Slug
BBKSDA,Jawa Barat,bbksda_jawa_barat
BBKSDA,Jawa Timur,bbksda_jawa_timur
BBKSDA,Riau,bbksda_riau
BBKSDA,Sulawesi Selatan,bbksda_sulawesi_selatan
BBKSDA,Sumatera Utara,bbksda_sumatera_utara
BKSDA,Aceh,bksda_aceh
BKSDA,Bali,bksda_bali
BKSDA,Bengkulu Lampung,bksda_bengkulu_lampung
BKSDA,Jakarta,bksda_jakarta
BKSDA,Jambi,bksda_jambi
BKSDA,Jawa Tengah,bksda_jawa_tengah
BKSDA,Kalimantan Barat,bksda_kalimantan_barat
BKSDA,Kalimantan Selatan,bksda_kalimantan_selatan
BKSDA,Kalimantan Timur,bksda_kalimantan_timur
BKSDA,NTB,bksda_ntb
BKSDA,Sulawesi Utara ,bksda_sulawesi_utara_
BKSDA,Sumatera Barat,bksda_sumatera_barat
BKSDA,Sumatera Selatan,bksda_sumatera_selatan
BKSDA,Yogyakarta,bksda_yogyakarta
